"Own_functional_mobile","Education","Locality","Geographic_Area","Sex","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69"
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Urban","Central","Male",517,3519,3602,2588,1626,922,609,356,285,271,183
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Urban","Central","Female",459,2534,1987,1294,727,326,205,96,78,114,53
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Urban","Greater Accra","Male",1272,6609,8744,8021,5667,3588,2278,1313,1024,920,657
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Urban","Greater Accra","Female",1307,5269,6451,5227,3181,1621,827,481,352,389,218
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Urban","Volta","Male",176,758,981,1090,987,666,410,267,203,234,166
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Urban","Volta","Female",226,751,646,687,469,291,128,75,76,69,69
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Urban","Eastern","Male",365,1094,1983,2196,1582,900,594,387,304,338,243
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Urban","Eastern","Female",288,873,1264,1161,848,387,176,129,100,116,66
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Urban","Ashanti","Male",1855,7792,5569,4702,2959,1538,989,561,454,409,317
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Urban","Ashanti","Female",1422,4936,3121,2491,1360,614,248,163,145,142,97
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Urban","Western North","Male",68,222,349,393,275,118,84,63,31,45,28
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Urban","Western North","Female",52,127,181,125,77,24,8,7,4,13,2
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Urban","Ahafo","Male",83,213,462,442,338,146,118,69,61,47,30
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Urban","Ahafo","Female",48,168,195,200,107,28,15,15,9,7,10
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Urban","Bono","Male",237,1698,1471,1348,970,486,272,178,108,140,113
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Urban","Bono","Female",216,978,869,660,424,180,76,31,44,50,22
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Urban","Bono East","Male",145,387,702,819,632,295,211,127,89,92,64
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Urban","Bono East","Female",72,238,351,354,206,96,39,17,37,29,12
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Urban","Oti","Male",103,225,283,325,262,177,75,52,36,41,33
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Urban","Oti","Female",35,125,119,113,59,25,8,12,14,20,5
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Urban","Northern","Male",195,1111,1434,1601,1193,818,482,268,168,167,112
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Urban","Northern","Female",227,1022,778,661,384,153,86,51,59,66,31
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Urban","Savannah","Male",37,50,145,212,146,100,65,33,27,28,24
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Urban","Savannah","Female",26,38,80,57,42,15,5,5,6,7,2
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Urban","North East","Male",38,103,219,282,223,118,70,45,22,36,16
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Urban","North East","Female",12,47,90,67,49,15,7,9,3,5,3
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Urban","Upper East","Male",92,429,431,572,499,311,145,76,55,58,47
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Urban","Upper East","Female",45,141,199,304,171,81,44,19,21,34,14
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Urban","Upper West","Male",68,523,590,566,414,255,125,68,71,71,53
"Both smart and non smart phone","Tertiary - Bachelor's Degree","Urban","Upper West","Female",58,378,276,216,151,78,39,20,19,50,20
"None","Never attended","Rural","Ghana","Male",71439,57954,43816,46900,39970,40832,33053,32724,23171,25341,17367
"None","Never attended","Rural","Ghana","Female",71095,91098,86010,99046,88897,86209,66074,64770,46912,51745,35972
"None","Never attended","Rural","Western","Male",2955,3535,3187,3474,2752,2491,1864,1675,1156,1224,828
"None","Never attended","Rural","Western","Female",2786,4278,4744,5355,4916,4426,3697,3856,2857,2922,2015
"None","Never attended","Rural","Central","Male",1638,1619,1607,1681,1741,1664,1683,1614,1346,1363,1084
"None","Never attended","Rural","Central","Female",1439,2252,2355,2989,3572,3688,4038,4639,3816,4402,3416
"None","Never attended","Rural","Greater Accra","Male",785,684,514,545,423,440,358,354,261,348,252
"None","Never attended","Rural","Greater Accra","Female",634,796,840,1083,1075,1037,874,919,742,913,740
"None","Never attended","Rural","Volta","Male",1721,1496,1196,1471,1387,1443,1269,1283,1015,1132,881
"None","Never attended","Rural","Volta","Female",1567,2241,2261,2846,2972,3268,3076,3514,2903,3371,2716
"None","Never attended","Rural","Eastern","Male",3183,2862,2248,2596,2631,2543,2325,2048,1610,1722,1319
"None","Never attended","Rural","Eastern","Female",2286,2972,3195,4060,4716,4697,4227,4487,3779,4214,3193
"None","Never attended","Rural","Ashanti","Male",4000,3828,3638,3927,3808,3590,3094,2881,2048,2028,1378
"None","Never attended","Rural","Ashanti","Female",4204,5629,6299,7251,7276,6633,5608,5760,4362,4493,3328
"None","Never attended","Rural","Western North","Male",2145,2166,1962,2255,2372,2159,1603,1551,999,903,591
"None","Never attended","Rural","Western North","Female",2295,3174,3773,4417,4029,3564,2762,2439,1685,1639,977
"None","Never attended","Rural","Ahafo","Male",633,646,539,659,714,659,595,534,404,352,223
"None","Never attended","Rural","Ahafo","Female",618,1028,1079,1364,1354,1234,961,884,657,575,448
"None","Never attended","Rural","Bono","Male",1496,1514,1271,1517,1370,1401,1093,1131,777,783,555
"None","Never attended","Rural","Bono","Female",1470,2046,2155,2549,2617,2458,2095,2052,1618,1622,1152
"None","Never attended","Rural","Bono East","Male",4566,3752,2664,2924,2506,2644,2074,2128,1503,1459,957
"None","Never attended","Rural","Bono East","Female",3880,4900,4520,5377,5024,4928,3576,3174,2192,2178,1455
"None","Never attended","Rural","Oti","Male",3870,2802,1928,2023,1771,1893,1651,1562,1134,1097,815
"None","Never attended","Rural","Oti","Female",3601,4327,4303,5220,4553,4275,3166,2738,2024,1949,1303
"None","Never attended","Rural","Northern","Male",17621,12197,7827,7699,5487,6070,4083,4415,2638,3373,1964
"None","Never attended","Rural","Northern","Female",19814,25398,22387,24270,17976,16387,9533,8233,4641,5735,3154
"None","Never attended","Rural","Savannah","Male",9022,7181,4774,5041,3155,3417,2259,2398,1401,1783,1044
"None","Never attended","Rural","Savannah","Female",8660,10103,8491,9176,6838,6664,4250,3856,2231,2715,1594
"None","Never attended","Rural","North East","Male",6104,4375,2937,2885,2191,2281,1809,1787,1210,1450,882
"None","Never attended","Rural","North East","Female",7277,8389,6969,7670,6371,5868,3863,3463,2282,2539,1601
"None","Never attended","Rural","Upper East","Male",6038,4698,3940,4515,4323,4675,4183,4219,3127,3513,2555
"None","Never attended","Rural","Upper East","Female",5362,6638,6384,7596,7790,8502,7396,7862,5965,6724,4880
"None","Never attended","Rural","Upper West","Male",5662,4599,3584,3688,3339,3462,3110,3144,2542,2811,2039
"None","Never attended","Rural","Upper West","Female",5202,6927,6255,7823,7818,8580,6952,6894,5158,5754,4000
"None","Never attended","Urban","Ghana","Male",20667,19887,16256,16851,13609,12777,10132,9313,6437,7362,5464
"None","Never attended","Urban","Ghana","Female",26302,30851,30387,34384,31095,28837,23208,23400,18016,21996,17285
"None","Never attended","Urban","Western","Male",1110,1413,1250,1390,1017,957,758,614,452,448,364
"None","Never attended","Urban","Western","Female",1141,1537,1664,1979,1938,1804,1622,1672,1350,1672,1298
"None","Never attended","Urban","Central","Male",1587,1440,1280,1378,1311,1229,1127,1114,767,871,682
"None","Never attended","Urban","Central","Female",1606,1874,1874,2235,2606,2486,2388,2643,2133,2668,2247
"None","Never attended","Urban","Greater Accra","Male",2469,2957,2501,2585,1809,1669,1218,1010,679,805,624
"None","Never attended","Urban","Greater Accra","Female",4854,4837,4391,4593,3982,3433,2668,2696,2148,2754,2445
"None","Never attended","Urban","Volta","Male",652,612,518,617,632,591,490,428,324,336,275
"None","Never attended","Urban","Volta","Female",782,1059,1141,1445,1256,1156,1054,1031,993,1141,973
"None","Never attended","Urban","Eastern","Male",918,990,958,1069,982,887,817,706,544,545,452
"None","Never attended","Urban","Eastern","Female",1052,1143,1319,1503,1611,1531,1507,1632,1394,1733,1438
"None","Never attended","Urban","Ashanti","Male",2155,2448,2064,2148,1675,1571,1234,1132,765,874,621
"None","Never attended","Urban","Ashanti","Female",3285,3436,3327,3602,3538,3225,2707,2864,2237,2646,2302
"None","Never attended","Urban","Western North","Male",440,484,371,407,382,344,247,229,151,169,91
"None","Never attended","Urban","Western North","Female",553,670,670,709,709,616,566,566,429,477,329
"None","Never attended","Urban","Ahafo","Male",307,336,290,301,325,208,188,200,145,161,125
"None","Never attended","Urban","Ahafo","Female",314,470,419,480,501,438,447,401,334,351,269
"None","Never attended","Urban","Bono","Male",773,786,658,699,604,546,446,441,329,370,305
"None","Never attended","Urban","Bono","Female",908,997,948,1122,1200,1105,1033,1154,992,1105,909
"None","Never attended","Urban","Bono East","Male",1698,1555,1184,1212,1003,919,786,719,469,504,364
"None","Never attended","Urban","Bono East","Female",1975,2245,2099,2318,2174,1952,1578,1463,1116,1234,868
"None","Never attended","Urban","Oti","Male",1116,825,652,538,455,479,356,354,268,296,192
"None","Never attended","Urban","Oti","Female",1229,1352,1365,1467,1280,1160,847,763,611,639,469
"None","Never attended","Urban","Northern","Male",3645,2928,2115,2150,1542,1587,1059,1079,666,886,590
"None","Never attended","Urban","Northern","Female",4438,6237,6377,7569,5880,5583,3503,3210,1915,2636,1681
"None","Never attended","Urban","Savannah","Male",1125,1047,804,705,515,496,314,287,193,220,177
"None","Never attended","Urban","Savannah","Female",1249,1520,1372,1444,1084,974,688,641,403,500,323
"None","Never attended","Urban","North East","Male",1538,1143,802,735,546,526,377,390,237,314,203
"None","Never attended","Urban","North East","Female",1691,1928,1788,1974,1580,1453,963,987,619,797,503
"None","Never attended","Urban","Upper East","Male",810,597,524,592,531,494,461,408,292,342,232
"None","Never attended","Urban","Upper East","Female",745,932,963,1187,1029,1153,984,1019,775,999,737
"None","Never attended","Urban","Upper West","Male",324,326,285,325,280,274,254,202,156,221,167
"None","Never attended","Urban","Upper West","Female",480,614,670,757,727,768,653,658,567,644,494
"None","Primary","Rural","Ghana","Male",12940,6696,4448,4079,4001,3193,2892,2728,1989,1977,1344
"None","Primary","Rural","Ghana","Female",11854,10212,8398,8142,7993,6268,5170,4664,3469,3470,2393
"None","Primary","Rural","Western","Male",887,533,400,343,320,250,241,206,126,162,73
"None","Primary","Rural","Western","Female",799,815,729,756,716,539,451,402,272,296,145
"None","Primary","Rural","Central","Male",805,503,336,364,411,321,351,339,277,262,190
"None","Primary","Rural","Central","Female",758,808,767,837,1017,885,815,728,559,561,379
"None","Primary","Rural","Greater Accra","Male",269,134,73,72,64,57,49,46,32,43,23
"None","Primary","Rural","Greater Accra","Female",259,254,203,204,184,121,114,86,65,75,41
"None","Primary","Rural","Volta","Male",793,480,331,343,371,342,300,321,243,249,191
"None","Primary","Rural","Volta","Female",745,852,763,737,782,664,572,562,401,441,349
"None","Primary","Rural","Eastern","Male",1293,729,609,587,716,538,500,480,359,385,292
"None","Primary","Rural","Eastern","Female",1120,1152,1108,1152,1322,1044,951,871,705,692,522
"None","Primary","Rural","Ashanti","Male",1562,938,648,685,673,494,461,474,314,274,209
"None","Primary","Rural","Ashanti","Female",1585,1471,1263,1442,1440,1150,958,932,728,705,450
"None","Primary","Rural","Western North","Male",501,284,222,208,206,145,139,126,98,79,37
"None","Primary","Rural","Western North","Female",573,471,403,434,390,317,233,207,153,108,76
"None","Primary","Rural","Ahafo","Male",244,144,89,91,100,86,69,63,65,51,30
"None","Primary","Rural","Ahafo","Female",231,248,176,219,226,172,143,111,69,65,57
"None","Primary","Rural","Bono","Male",491,240,184,153,168,117,101,64,73,67,39
"None","Primary","Rural","Bono","Female",418,347,303,299,271,211,186,152,97,109,72
"None","Primary","Rural","Bono East","Male",941,440,268,244,196,181,142,114,74,73,41
"None","Primary","Rural","Bono East","Female",828,629,522,422,353,265,164,149,102,84,66
"None","Primary","Rural","Oti","Male",660,281,200,171,163,167,129,120,98,100,80
"None","Primary","Rural","Oti","Female",671,610,435,403,357,292,214,162,125,115,83
"None","Primary","Rural","Northern","Male",970,389,168,111,60,65,43,46,24,23,22
"None","Primary","Rural","Northern","Female",964,580,354,216,132,93,36,24,21,14,5
"None","Primary","Rural","Savannah","Male",427,223,108,70,46,32,29,30,16,21,6
"None","Primary","Rural","Savannah","Female",477,300,177,132,102,57,20,19,11,20,9
"None","Primary","Rural","North East","Male",421,158,88,61,43,37,27,27,22,17,9
"None","Primary","Rural","North East","Female",453,275,180,128,80,51,34,20,10,11,4
"None","Primary","Rural","Upper East","Male",1598,756,469,396,325,267,225,194,98,108,62
"None","Primary","Rural","Upper East","Female",1098,716,527,426,332,237,168,128,83,96,61
"None","Primary","Rural","Upper West","Male",1078,464,255,180,139,94,86,78,70,63,40
"None","Primary","Rural","Upper West","Female",875,684,488,335,289,170,111,111,68,78,74
"None","Primary","Urban","Ghana","Male",4867,2901,1933,1624,1471,1117,1027,803,598,556,427
"None","Primary","Urban","Ghana","Female",5427,3998,3241,3189,3010,2517,2160,1938,1524,1608,1180
"None","Primary","Urban","Western","Male",303,214,178,148,138,88,73,54,46,37,28
"None","Primary","Urban","Western","Female",275,261,237,255,237,173,173,188,126,120,89
"None","Primary","Urban","Central","Male",688,372,227,190,190,158,154,153,127,116,82
"None","Primary","Urban","Central","Female",649,504,418,421,449,380,357,350,254,262,211
"None","Primary","Urban","Greater Accra","Male",547,429,254,231,193,139,137,106,61,78,47
"None","Primary","Urban","Greater Accra","Female",774,571,503,535,491,430,359,315,251,227,179
"None","Primary","Urban","Volta","Male",263,164,105,103,105,88,91,86,63,52,42
"None","Primary","Urban","Volta","Female",274,259,212,206,200,139,124,115,100,89,98
"None","Primary","Urban","Eastern","Male",395,269,208,169,207,186,171,127,91,98,81
"None","Primary","Urban","Eastern","Female",458,357,333,357,360,347,291,310,236,302,209
"None","Primary","Urban","Ashanti","Male",693,431,325,277,210,177,162,112,87,52,53
"None","Primary","Urban","Ashanti","Female",858,635,546,537,532,462,431,347,288,345,198
"None","Primary","Urban","Western North","Male",93,71,46,47,35,15,19,13,11,15,4
"None","Primary","Urban","Western North","Female",103,74,75,96,76,55,42,35,30,28,18
"None","Primary","Urban","Ahafo","Male",127,80,56,47,45,21,26,20,18,11,11
"None","Primary","Urban","Ahafo","Female",116,88,78,70,96,76,62,44,56,43,44
"None","Primary","Urban","Bono","Male",222,143,104,77,83,67,60,41,17,23,19
"None","Primary","Urban","Bono","Female",243,193,160,134,150,108,106,93,70,69,56
"None","Primary","Urban","Bono East","Male",451,202,153,103,87,59,30,24,21,23,20
"None","Primary","Urban","Bono East","Female",499,349,222,188,169,120,82,57,56,47,30
"None","Primary","Urban","Oti","Male",175,87,49,35,47,30,28,18,25,16,18
"None","Primary","Urban","Oti","Female",289,146,90,78,52,62,36,29,23,21,23
"None","Primary","Urban","Northern","Male",482,211,98,77,37,17,15,8,4,8,6
"None","Primary","Urban","Northern","Female",454,254,177,103,56,44,20,11,3,14,1
"None","Primary","Urban","Savannah","Male",79,40,30,21,9,8,2,4,2,5,2
"None","Primary","Urban","Savannah","Female",91,55,37,30,17,10,9,5,1,4,5
"None","Primary","Urban","North East","Male",107,46,26,15,9,14,12,4,4,1,0
"None","Primary","Urban","North East","Female",122,85,35,39,28,10,7,6,2,1,0
"None","Primary","Urban","Upper East","Male",166,92,58,66,64,41,38,28,14,16,13
"None","Primary","Urban","Upper East","Female",136,117,82,93,55,56,37,22,18,22,5
"None","Primary","Urban","Upper West","Male",76,50,16,18,12,9,9,5,7,5,1
"None","Primary","Urban","Upper West","Female",86,50,36,47,42,45,24,11,10,14,14
"None","Secondary","Rural","Ghana","Male",0,0,0,0,0,1,3,0,0,0,3
"None","Secondary","Rural","Ghana","Female",0,0,0,0,0,2,7,0,0,0,1
"None","Secondary","Rural","Western","Male",0,0,0,0,0,0,0,0,0,0,0
"None","Secondary","Rural","Western","Female",0,0,0,0,0,0,0,0,0,0,0
"None","Secondary","Rural","Central","Male",0,0,0,0,0,0,1,0,0,0,0
"None","Secondary","Rural","Central","Female",0,0,0,0,0,0,1,0,0,0,1
"None","Secondary","Rural","Greater Accra","Male",0,0,0,0,0,0,0,0,0,0,1
"None","Secondary","Rural","Greater Accra","Female",0,0,0,0,0,0,0,0,0,0,0
"None","Secondary","Rural","Volta","Male",0,0,0,0,0,0,1,0,0,0,0
"None","Secondary","Rural","Volta","Female",0,0,0,0,0,1,1,0,0,0,0
"None","Secondary","Rural","Eastern","Male",0,0,0,0,0,0,0,0,0,0,1
"None","Secondary","Rural","Eastern","Female",0,0,0,0,0,0,2,0,0,0,0
"None","Secondary","Rural","Ashanti","Male",0,0,0,0,0,0,0,0,0,0,1
"None","Secondary","Rural","Ashanti","Female",0,0,0,0,0,1,3,0,0,0,0
"None","Secondary","Rural","Western North","Male",0,0,0,0,0,0,0,0,0,0,0
"None","Secondary","Rural","Western North","Female",0,0,0,0,0,0,0,0,0,0,0
"None","Secondary","Rural","Ahafo","Male",0,0,0,0,0,0,0,0,0,0,0
"None","Secondary","Rural","Ahafo","Female",0,0,0,0,0,0,0,0,0,0,0
"None","Secondary","Rural","Bono","Male",0,0,0,0,0,0,0,0,0,0,0
"None","Secondary","Rural","Bono","Female",0,0,0,0,0,0,0,0,0,0,0
"None","Secondary","Rural","Bono East","Male",0,0,0,0,0,0,0,0,0,0,0
"None","Secondary","Rural","Bono East","Female",0,0,0,0,0,0,0,0,0,0,0
"None","Secondary","Rural","Oti","Male",0,0,0,0,0,0,0,0,0,0,0
"None","Secondary","Rural","Oti","Female",0,0,0,0,0,0,0,0,0,0,0
"None","Secondary","Rural","Northern","Male",0,0,0,0,0,0,1,0,0,0,0
"None","Secondary","Rural","Northern","Female",0,0,0,0,0,0,0,0,0,0,0
"None","Secondary","Rural","Savannah","Male",0,0,0,0,0,0,0,0,0,0,0
"None","Secondary","Rural","Savannah","Female",0,0,0,0,0,0,0,0,0,0,0
"None","Secondary","Rural","North East","Male",0,0,0,0,0,0,0,0,0,0,0
"None","Secondary","Rural","North East","Female",0,0,0,0,0,0,0,0,0,0,0
"None","Secondary","Rural","Upper East","Male",0,0,0,0,0,1,0,0,0,0,0
"None","Secondary","Rural","Upper East","Female",0,0,0,0,0,0,0,0,0,0,0
"None","Secondary","Rural","Upper West","Male",0,0,0,0,0,0,0,0,0,0,0
"None","Secondary","Rural","Upper West","Female",0,0,0,0,0,0,0,0,0,0,0
"None","Secondary","Urban","Ghana","Male",0,0,0,0,0,0,1,1,0,0,2
"None","Secondary","Urban","Ghana","Female",0,0,0,0,0,0,1,0,1,2,2
"None","Secondary","Urban","Western","Male",0,0,0,0,0,0,0,0,0,0,0
"None","Secondary","Urban","Western","Female",0,0,0,0,0,0,0,0,0,0,0
"None","Secondary","Urban","Central","Male",0,0,0,0,0,0,0,0,0,0,0
"None","Secondary","Urban","Central","Female",0,0,0,0,0,0,0,0,0,0,2
"None","Secondary","Urban","Greater Accra","Male",0,0,0,0,0,0,1,0,0,0,0
"None","Secondary","Urban","Greater Accra","Female",0,0,0,0,0,0,0,0,0,1,0
"None","Secondary","Urban","Volta","Male",0,0,0,0,0,0,0,0,0,0,0
"None","Secondary","Urban","Volta","Female",0,0,0,0,0,0,0,0,0,0,0
"None","Secondary","Urban","Eastern","Male",0,0,0,0,0,0,0,0,0,0,0
"None","Secondary","Urban","Eastern","Female",0,0,0,0,0,0,0,0,0,0,0
"None","Secondary","Urban","Ashanti","Male",0,0,0,0,0,0,0,0,0,0,0
"None","Secondary","Urban","Ashanti","Female",0,0,0,0,0,0,1,0,1,1,0
"None","Secondary","Urban","Western North","Male",0,0,0,0,0,0,0,0,0,0,0
"None","Secondary","Urban","Western North","Female",0,0,0,0,0,0,0,0,0,0,0
"None","Secondary","Urban","Ahafo","Male",0,0,0,0,0,0,0,0,0,0,0
"None","Secondary","Urban","Ahafo","Female",0,0,0,0,0,0,0,0,0,0,0
"None","Secondary","Urban","Bono","Male",0,0,0,0,0,0,0,0,0,0,0
"None","Secondary","Urban","Bono","Female",0,0,0,0,0,0,0,0,0,0,0
"None","Secondary","Urban","Bono East","Male",0,0,0,0,0,0,0,0,0,0,0
"None","Secondary","Urban","Bono East","Female",0,0,0,0,0,0,0,0,0,0,0
"None","Secondary","Urban","Oti","Male",0,0,0,0,0,0,0,0,0,0,1
"None","Secondary","Urban","Oti","Female",0,0,0,0,0,0,0,0,0,0,0
"None","Secondary","Urban","Northern","Male",0,0,0,0,0,0,0,0,0,0,0
"None","Secondary","Urban","Northern","Female",0,0,0,0,0,0,0,0,0,0,0
"None","Secondary","Urban","Savannah","Male",0,0,0,0,0,0,0,0,0,0,0
"None","Secondary","Urban","Savannah","Female",0,0,0,0,0,0,0,0,0,0,0
"None","Secondary","Urban","North East","Male",0,0,0,0,0,0,0,0,0,0,0
"None","Secondary","Urban","North East","Female",0,0,0,0,0,0,0,0,0,0,0
"None","Secondary","Urban","Upper East","Male",0,0,0,0,0,0,0,0,0,0,1
"None","Secondary","Urban","Upper East","Female",0,0,0,0,0,0,0,0,0,0,0
"None","Secondary","Urban","Upper West","Male",0,0,0,0,0,0,0,1,0,0,0
"None","Secondary","Urban","Upper West","Female",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Rural","Ghana","Male",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Rural","Ghana","Female",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Rural","Western","Male",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Rural","Western","Female",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Rural","Central","Male",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Rural","Central","Female",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Rural","Greater Accra","Male",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Rural","Greater Accra","Female",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Rural","Volta","Male",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Rural","Volta","Female",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Rural","Eastern","Male",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Rural","Eastern","Female",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Rural","Ashanti","Male",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Rural","Ashanti","Female",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Rural","Western North","Male",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Rural","Western North","Female",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Rural","Ahafo","Male",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Rural","Ahafo","Female",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Rural","Bono","Male",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Rural","Bono","Female",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Rural","Bono East","Male",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Rural","Bono East","Female",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Rural","Oti","Male",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Rural","Oti","Female",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Rural","Northern","Male",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Rural","Northern","Female",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Rural","Savannah","Male",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Rural","Savannah","Female",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Rural","North East","Male",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Rural","North East","Female",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Rural","Upper East","Male",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Rural","Upper East","Female",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Rural","Upper West","Male",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Rural","Upper West","Female",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Urban","Ghana","Male",0,1,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Urban","Ghana","Female",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Urban","Western","Male",0,1,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Urban","Western","Female",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Urban","Central","Male",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Urban","Central","Female",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Urban","Greater Accra","Male",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Urban","Greater Accra","Female",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Urban","Volta","Male",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Urban","Volta","Female",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Urban","Eastern","Male",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Urban","Eastern","Female",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Urban","Ashanti","Male",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Urban","Ashanti","Female",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Urban","Western North","Male",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Urban","Western North","Female",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Urban","Ahafo","Male",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Urban","Ahafo","Female",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Urban","Bono","Male",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Urban","Bono","Female",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Urban","Bono East","Male",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Urban","Bono East","Female",0,0,0,0,0,0,0,0,0,0,0
"None","Tertiary - Bachelor's Degree","Urban","Oti","Male",0,0,0,0,0,0,0,0,0,0,0
